date,followers,total_stars
2025-09-26,50,66
2025-09-27,50,66
2025-09-28,50,66
2025-09-29,50,66
2025-09-30,50,66
2025-10-01,50,66
2025-10-02,50,66
2025-10-03,50,66
2025-10-04,50,66
2025-10-05,50,66
2025-10-06,50,66
2025-10-07,50,66
2025-10-08,50,66
2025-10-09,50,66
2025-10-10,50,66
2025-10-11,50,66
2025-10-12,50,66
2025-10-13,50,66
2025-10-14,50,66
2025-10-15,50,66
2025-10-16,50,66
2025-10-17,50,66
2025-10-18,50,66
2025-10-19,50,66
2025-10-20,50,66
2025-10-21,50,66
2025-10-22,50,66
2025-10-23,50,66
2025-10-24,50,66
2025-10-25,50,66
2025-10-26,50,66
2025-11-02,54,73
2025-11-03,54,73
2025-11-04,54,74
2025-11-05,54,74
2025-11-06,54,74
2025-11-07,55,74
2025-11-08,55,73
2025-11-09,55,73
